|name|party|location
247|Stéphane Lauzon|Liberal|Argenteuil—La Petite-Nation
248|Rémi Massé|Liberal|Avignon—La Mitis—Matane—Matapédia
249|Maxime Bernier|Conservative|Beauce
250|Sylvie Boucher|Conservative|Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix
251|Alupa Clarke|Conservative|Beauport—Limoilou
252|Louis Plamondon|Bloc Québécois|Bécancour—Nicolet—Saurel
253|Steven Blaney|Conservative|Bellechasse—Les Etchemins—Lévis
254|Matthew Dubé|NDP|Beloeil—Chambly
255|Ruth Ellen Brosseau|NDP|Berthier—Maskinongé
256|Emmanuel Dubourg|Liberal|Bourassa
257|Denis Paradis|Liberal|Brome—Missisquoi
258|Alexandra Mendès|Liberal|Brossard—Saint-Lambert
259|Pierre Paul-Hus|Conservative|Charlesbourg—Haute-Saint-Charles
260|Brenda Shanahan|Liberal|Châteauguay—Lacolle
261|Denis Lemieux (until December 1, 2017)|Liberal|Chicoutimi—Le Fjord
262|Marie-Claude Bibeau|Liberal|Compton—Stanstead
263|Anju Dhillon|Liberal|Dorval—Lachine—LaSalle
264|François Choquette|NDP|Drummond
265|Diane Lebouthillier|Liberal|Gaspésie—Les Îles-de-la-Madeleine
266|Steven MacKinnon|Liberal|Gatineau
267|Marjolaine Boutin-Sweet|NDP|Hochelaga
268|Pablo Rodríguez|Liberal|Honoré-Mercier
269|Greg Fergus|Liberal|Hull—Aylmer
270|Gabriel Ste-Marie|Bloc Québécois|Joliette
271|Karine Trudel|NDP|Jonquière
272|Mario Beaulieu|Bloc Québécois|La Pointe-de-l'Île
273|Jean-Claude Poissant|Liberal|La Prairie
274|Denis Lebel (until August 9, 2017)|Conservative|Lac-Saint-Jean
275|Francis Scarpaleggia|Liberal|Lac-Saint-Louis
276|David Lametti|Liberal|LaSalle—Émard—Verdun
277|David Graham|Liberal|Laurentides—Labelle
278|Hélène Laverdière|NDP|Laurier—Sainte-Marie
279|Fayçal El-Khoury|Liberal|Laval—Les Îles
280|Jacques Gourde|Conservative|Lévis—Lotbinière
281|Sherry Romanado|Liberal|Longueuil—Charles-LeMoyne
282|Pierre Nantel|NDP|Longueuil—Saint-Hubert
283|Joël Lightbound|Liberal|Louis-Hébert
284|Gérard Deltell|Conservative|Louis-Saint-Laurent
285|Marilène Gill|Bloc Québécois|Manicouagan
286|Yves Robillard|Liberal|Marc-Aurèle-Fortin
287|Luc Berthold|Conservative|Mégantic—L'Érable
288|Simon Marcil|Bloc Québécois|Mirabel
289|Michel Picard|Liberal|Montarville
290|Luc Thériault|Bloc Québécois|Montcalm
291|Bernard Généreux|Conservative|Montmagny—L'Islet—Kamouraska—Rivière-du-Loup
292|Anthony Housefather|Liberal|Mount Royal
293|Marc Garneau|Liberal|Notre-Dame-de-Grâce—Westmount
294|Thomas Mulcairn (until August 3, 2018)|NDP|Outremont
295|Justin Trudeau|Liberal|Papineau
