end|index_rows|location|name|parliament_number|party|start|sex
14121979|141|Kingston and the Islands|Flora MacDonald|31|Progressive Conservative|9101979|female
9071984|141|Kingston and the Islands|Flora MacDonald|32|Progressive Conservative|14041980|female
1101988|141|Progressive Conservative|Flora MacDonald|33|Kingston and the Islands|5111984|female
7092008|49|Compton—Stanstead|France Bonsant|39|Bloc Québécois|3042006|female
29112005|233|Compton—Stanstead|France Bonsant|38|Bloc Québécois|4102004|female
26032011|233|Compton—Stanstead|France Bonsant|40|Bloc Québécois|18112008|female
23052004|252|Mercier|Francine Lalonde|37|Bloc Québécois|29012001|female
7092008|60|La Pointe-de-l'Île|Francine Lalonde|39|Bloc Québécois|3042006|female
27041997|76|Mercier|Francine Lalonde|35|Bloc Québécois|17011994|female
29112005|244|La Pointe-de-l'Île|Francine Lalonde|38|Bloc Québécois|4102004|female
26032011|244|La Pointe-de-l'Île|Francine Lalonde|40|Bloc Québécois|18112008|female
22102000|74|Mercier|Francine Lalonde|36|Bloc Québécois|22091997|female
2082015|242|Joliette|Francine Raynault|41|NDP|2062011|female
2082015|236|Gatineau|Françoise Boivin|41|NDP|2062011|female
29112005|236|Gatineau|Françoise Boivin|38|Liberal|4102004|female
8091993|43|Brome—Missisquoi|Gabrielle Bertrand|34|Progressive Conservative|12121988|female
1101988|41|Progressive Conservative|Gabrielle Bertrand|33|Brome—Missisquoi|5111984|female
8091993|57|Joliette|Gaby Larrivée|34|Progressive Conservative|12121988|female
27041997|229|Saskatoon—Humboldt|Georgette Sheridan|35|Liberal|17011994|female
11092019|324|Desnethé—Missinippi—Churchill River|Georgina Jolibois|42|NDP|3122015|female
20112019|96|Moncton—Riverview—Dieppe|Ginette Petitpas Taylor|43|Liberal|21102019|female
11092019|96|Moncton—Riverview—Dieppe|Ginette Petitpas Taylor|42|Liberal|3122015|female
30041949|232||Gladys Strum|20|C.C.F.|6091945|female
23041968|35||Grace MacInnis|27|New Democratic Party|18011966|female
